 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time          Thread
     65536           62808               3             100            0.01             0.3        -411.584         2.82843        -27.0542         292.591         138.452         65.5019               4
     65536           62656               3             100            0.01             0.3         -446.81         2.82843         -29.346         293.045         150.209         65.4914               3
     65536           62763               3             100            0.01             0.3        -419.413         2.82843        -27.7955         291.032         145.549         65.5128               6
     65536           62712               3             100            0.01             0.3         -421.36         2.82843        -28.2787        -33184.1          151.92          65.537               5
     65536           62765               3             100            0.01             0.3        -415.446         2.82843        -27.8024         282.759         421.648         65.5168               0
     65536           62730               3             100            0.01             0.3        -442.696         2.82843        -29.6806         292.475         150.505         65.5128               7
     65536               0               3             100            0.01             0.3        -422.578         2.82843        -27.8969         290.987         144.781         65.5759               2
     65536           62797               3             100            0.01             0.3        -421.214         2.82843        -28.0712         290.288         144.828         65.5752               1
