 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          261895               2             500             0.1             0.1        -12150.2               1               0          1299.4         2916.06         25.5827
    262144          261812               2             500             0.1            0.12        -8013.92               1               0         1102.14         1888.08         25.8289
    262144          261729               2             500             0.1            0.14        -5906.72               1               0         962.907         1360.91           25.49
    262144          261619               2             500             0.1            0.16        -4461.47               1               0         861.048         1001.15         25.2624
    262144          261497               2             500             0.1            0.18        -3320.29               1               0         784.212         722.496         25.2541
    262144          261425               2             500             0.1             0.2        -2621.03               1               0         725.191         550.416         25.1837
    262144          261312               2             500             0.1            0.22        -2098.54               1               0         678.065         423.066         25.5125
    262144          261225               2             500             0.1            0.24        -1680.95               1               0         640.923         323.414         25.6641
    262144          261003               2             500             0.1            0.26        -1361.03               1               0         610.581         248.251         25.7223
    262144          260928               2             500             0.1            0.28        -1121.25               1               0         586.364         192.407         25.9959
    262144          260812               2             500             0.1             0.3        -906.306               1               0         566.816         145.009            25.7
    262144          260631               2             500             0.1            0.32        -737.452               1               0         550.777         108.848         25.7136
    262144          260456               2             500             0.1            0.34        -590.417               1               0         537.625         79.3521         25.4255
    262144          260354               2             500             0.1            0.36        -474.908               1               0         527.166          57.179         25.5071
    262144          260187               2             500             0.1            0.38        -378.709               1               0         518.941         39.9917         25.7531
    262144          260118               2             500             0.1             0.4        -289.764               1               0          512.53         26.0787         25.7581
    262144          259885               2             500             0.1            0.42        -216.587               1               0         507.595         15.9408         25.5658
    262144          259718               2             500             0.1            0.44        -151.326               1               0           504.1         8.53476         25.7465
    262144          259512               2             500             0.1            0.46        -94.1828               1               0          501.74         3.61662         26.0582
    262144          259410               2             500             0.1            0.48        -44.3304               1               0         500.424        0.868876         25.6679
    262144          259368               2             500             0.1             0.5     1.16415e-09               1               0             500               0         25.2457
    262144          259053               2             500             0.1            0.52         39.4792               1               0         500.374        0.805375         25.1182
    262144          258830               2             500             0.1            0.54         73.9473               1               0         501.478         3.07621         25.2305
    262144          258675               2             500             0.1            0.56         106.549               1               0         503.211          6.7765         25.2294
    262144          258411               2             500             0.1            0.58         136.163               1               0         505.528         11.7645         25.8791
    262144          258308               2             500             0.1             0.6         162.074               1               0         508.333         17.8281         25.5684
    262144          258116               2             500             0.1            0.62         184.987               1               0         511.641         24.8622         25.2526
    262144          257892               2             500             0.1            0.64          206.84               1               0          515.31         33.0116          25.135
    262144          257646               2             500             0.1            0.66         228.165               1               0         519.321         42.3474         25.1548
    262144          257376               2             500             0.1            0.68         245.013               1               0         523.889         52.0408         25.3274
    262144          257336               2             500             0.1             0.7         258.691               1               0         528.582         62.0859         25.0975
    262144          257077               2             500             0.1            0.72          274.52               1               0         533.596         73.6812         25.0805
    262144          256868               2             500             0.1            0.74         294.526               1               0         538.913         87.6509         25.0698
    262144          256713               2             500             0.1            0.76         302.972               1               0         544.471         99.2536         25.0533
    262144          256502               2             500             0.1            0.78         313.588               1               0         550.192          112.39         25.0221
    262144          256271               2             500             0.1             0.8         329.951               1               0         556.292         128.681         25.0922
    262144          256053               2             500             0.1            0.82          339.52               1               0         562.489         143.413         25.4123
    262144          255714               2             500             0.1            0.84          345.41               1               0          568.69         157.369         25.2504
    262144          255607               2             500             0.1            0.86         358.916               1               0         575.326         175.725         25.6684
