 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          259362               2              10             0.1             0.1        -334.815               1               0         26.4304         80.3557        0.208822
    262144          259314               2              10             0.1            0.12        -228.594               1               0         22.4173         53.8569        0.204788
    262144          259112               2              10             0.1            0.14        -155.445               1               0         19.7346         35.8145        0.207252
    262144          259197               2              10             0.1            0.16        -86.9439               1               0         16.8698         19.5102        0.208784
    262144          258896               2              10             0.1            0.18        -73.0009               1               0         15.5582          15.885         0.20563
    262144          258074               2              10             0.1             0.2        -44.2958               1               0         14.7494         9.30213         0.20884
    262144          258239               2              10             0.1            0.22        -42.6539               1               0         13.6546         8.59902        0.207069
    262144          258029               2              10             0.1            0.24        -36.0161               1               0         13.1385          6.9295        0.209415
    262144          258144               2              10             0.1            0.26        -27.6089               1               0         12.2997         5.03586        0.207513
    262144          257883               2              10             0.1            0.28        -21.5532               1               0         11.8559         3.69853        0.207813
    262144          258334               2              10             0.1             0.3        -16.7115               1               0         11.0141         2.67383        0.203763
    262144          257631               2              10             0.1            0.32        -16.0995               1               0         11.0196         2.37628        0.204607
    262144          257514               2              10             0.1            0.34        -13.2809               1               0         10.6414         1.78496         0.20381
    262144          257516               2              10             0.1            0.36        -9.21781               1               0         10.3758         1.10982        0.203731
    262144          257166               2              10             0.1            0.38        -8.38233               1               0         10.3807        0.885174        0.217934
    262144          257044               2              10             0.1             0.4        -6.00067               1               0          10.344        0.540061        0.215266
    262144          257068               2              10             0.1            0.42        -4.07608               1               0         10.1206        0.299999        0.211743
    262144          256769               2              10             0.1            0.44        -3.41335               1               0         10.0962        0.192513        0.204012
    262144          256668               2              10             0.1            0.46        -1.85149               1               0         10.0308       0.0710973         0.20515
    262144          256444               2              10             0.1            0.48        -1.08101               1               0         10.0291       0.0211878        0.203811
    262144          256432               2              10             0.1             0.5    -2.52953e-12               1               0              10               0        0.203685
    262144          256320               2              10             0.1            0.52         1.01096               1               0         9.99427       0.0206236        0.204132
    262144          256175               2              10             0.1            0.54         1.64425               1               0         10.0154       0.0684008        0.204116
    262144          256218               2              10             0.1            0.56         2.06813               1               0         10.0699        0.131533        0.206349
    262144          255701               2              10             0.1            0.58         2.57529               1               0         10.1041        0.222505        0.203985
    262144          256010               2              10             0.1             0.6         3.75342               1               0         10.1608        0.412876        0.203951
    262144          255866               2              10             0.1            0.62          4.6932               1               0         10.1934        0.630765        0.204127
    262144          255614               2              10             0.1            0.64         4.31069               1               0         10.3684        0.687986        0.204036
