 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          261910               2              10             0.1             0.1          -244.3               1               0         26.1165          58.632         0.58621
    262144          261775               2              10             0.1            0.12        -164.895               1               0         22.0824         38.8493        0.525063
    262144          261667               2              10             0.1            0.14        -119.009               1               0         19.3585         27.4197        0.555456
    262144          261583               2              10             0.1            0.16        -88.4484               1               0         17.2728         19.8478        0.552471
    262144          261521               2              10             0.1            0.18        -68.7236               1               0         15.7304         14.9543        0.509909
    262144          261412               2              10             0.1             0.2        -52.8262               1               0         14.5744         11.0935        0.508768
    262144          261287               2              10             0.1            0.22        -41.8115               1               0         13.5538         8.42921        0.508447
    262144          261183               2              10             0.1            0.24        -33.4075               1               0         12.8201          6.4276        0.508821
    262144          260975               2              10             0.1            0.26        -27.3871               1               0           12.22          4.9954        0.507882
    262144          260960               2              10             0.1            0.28        -22.1938               1               0         11.7421         3.80846        0.508675
    262144          260802               2              10             0.1             0.3        -17.2429               1               0         11.3119         2.75887        0.508674
    262144          260619               2              10             0.1            0.32        -14.4128               1               0         11.0254         2.12733        0.509841
    262144          260492               2              10             0.1            0.34        -11.5924               1               0         10.7587         1.55802        0.509561
    262144          260428               2              10             0.1            0.36        -9.20385               1               0         10.5405         1.10814        0.509538
    262144          260247               2              10             0.1            0.38         -7.4214               1               0          10.385          0.7837        0.508413
    262144          260095               2              10             0.1             0.4        -5.67199               1               0         10.2528        0.510479        0.511268
    262144          259859               2              10             0.1            0.42        -4.17878               1               0         10.1492        0.307558        0.510761
    262144          259650               2              10             0.1            0.44        -2.91092               1               0         10.0828        0.164176        0.509961
    262144          259572               2              10             0.1            0.46        -1.79133               1               0         10.0328       0.0687872         0.51023
    262144          259395               2              10             0.1            0.48       -0.846461               1               0         10.0068       0.0165906         0.51799
    262144          259261               2              10             0.1             0.5    -5.76961e-12               1               0              10               0        0.516316
    262144          259011               2              10             0.1            0.52        0.756999               1               0          10.008       0.0154428        0.518846
    262144          258875               2              10             0.1            0.54         1.43579               1               0         10.0295        0.059729        0.520878
    262144          258693               2              10             0.1            0.56         2.03782               1               0         10.0651        0.129606        0.541562
    262144          258467               2              10             0.1            0.58         2.56747               1               0         10.1054         0.22183        0.517294
    262144          258323               2              10             0.1             0.6         3.08331               1               0         10.1664        0.339164        0.541922
    262144          258029               2              10             0.1            0.62         3.47238               1               0         10.2347        0.466688        0.538813
    262144          258100               2              10             0.1            0.64         3.92371               1               0         10.3058        0.626224        0.525643
    262144          257637               2              10             0.1            0.66         4.24379               1               0         10.3896        0.787647        0.524986
    262144          257479               2              10             0.1            0.68          4.6217               1               0         10.4747        0.981648        0.520431
    262144          257262               2              10             0.1             0.7         4.91242               1               0         10.5694         1.17898        0.530052
    262144          257193               2              10             0.1            0.72          5.1965               1               0         10.6727         1.39474        0.537935
    262144          256794               2              10             0.1            0.74         5.46201               1               0         10.7869         1.62549        0.534797
    262144          256543               2              10             0.1            0.76         5.71591               1               0         10.8841         1.87253        0.535219
    262144          256434               2              10             0.1            0.78         5.91703               1               0         11.0054         2.12066        0.532884
    262144          256314               2              10             0.1             0.8         6.13088               1               0         11.1144         2.39104        0.529907
    262144          256075               2              10             0.1            0.82         6.23778               1               0         11.2548         2.63484        0.534664
    262144          255917               2              10             0.1            0.84         6.48025               1               0         11.3675          2.9524         0.52298
    262144          255628               2              10             0.1            0.86         6.66112               1               0         11.4943         3.26129        0.533606
    262144          255338               2              10             0.1            0.88         6.80452               1               0         11.6434         3.56829        0.535068
