 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time          Thread
     65536           63934               3              10            0.01        0.498296    -0.000565176         2.82843     -0.00990653         24.3188     0.000550894        0.738668               5
     65536           63986               3              10            0.01        0.498318      4.1415e-05         2.82843      -0.0102186          24.319     0.000554262        0.740081               6
     65536           64078               3              10            0.01         0.49837      0.00431718         2.82843      -0.0099022          24.319     0.000568719        0.730213               1
     65536           63942               3              10            0.01         0.49833    -0.000793418         2.82843      -0.0104244         24.3195     0.000575878        0.742289               7
     65536           63962               3              10            0.01        0.498252     -0.00785825         2.82843      -0.0106679         24.3185     0.000552276        0.739782               4
     65536           63952               3              10            0.01        0.498321      0.00463575         2.82843      -0.0096108         24.3187     0.000548479        0.751961               3
     65536           64050               3              10            0.01        0.498293     -0.00169371         2.82843      -0.0102699         24.3178     0.000560808        0.723877               0
     65536           63999               3              10            0.01        0.498291     -0.00177218         2.82843      -0.0100793         24.3185     0.000558836        0.747309               2
     65536           63974               3              10            0.01        0.498302      0.00122925         2.82843      -0.0109936         24.3186     0.000571137        0.732715               5
     65536           64030               3              10            0.01        0.498327      0.00504748         2.82843     -0.00989341         24.3183     0.000560461        0.725167               1
     65536           63957               3              10            0.01        0.498318       0.0067942         2.82843     -0.00982069         24.3191     0.000575046        0.737062               6
     65536           64042               3              10            0.01        0.498338    -0.000102435         2.82843       -0.010328         24.3191     0.000554179         0.73263               7
     65536           63906               3              10            0.01        0.498331     -0.00487467         2.82843      -0.0104558          24.319     0.000545796        0.721443               4
     65536           64006               3              10            0.01        0.498274     -0.00180203         2.82843      -0.0102708         24.3186     0.000559378        0.727245               3
     65536           64075               3              10            0.01         0.49831      0.00989605         2.82843      -0.0100291         24.3172     0.000574535         0.71792               0
     65536           64024               3              10            0.01        0.498308      0.00704209         2.82843        -0.01041         24.3187     0.000581348         0.72071               2
     65536           63993               3              10            0.01        0.498289     -0.00197551         2.82843      -0.0105207         24.3184     0.000563201        0.733759               5
     65536           63953               3              10            0.01        0.498276      0.00167811         2.82843      -0.0104634          24.319     0.000582557        0.736713               1
     65536           63956               3              10            0.01         0.49825      0.00438588         2.82843      -0.0103865         24.3184     0.000594212        0.733293               6
     65536           63977               3              10            0.01        0.498339      0.00493054         2.82843      -0.0108116         24.3193      0.00060235          0.7179               7
     65536           64004               3              10            0.01        0.498292      0.00296499         2.82843      -0.0100384         24.3181     0.000558078        0.731131               3
     65536           64041               3              10            0.01        0.498379        0.012724         2.82843      -0.0092512         24.3191     0.000583444        0.761704               4
     65536           63971               3              10            0.01        0.498211      -0.0157181         2.82843      -0.0115026         24.3181     0.000559505        0.721301               0
     65536           64008               3              10            0.01        0.498238     -0.00684133         2.82843      -0.0108882         24.3185     0.000572083        0.724453               2
     65536           63963               3              10            0.01        0.498309     0.000761088         2.82843     -0.00948887         24.3183     0.000543221        0.738609               5
     65536           63931               3              10            0.01        0.498259      0.00205657         2.82843      -0.0102684         24.3184     0.000571874        0.730551               1
     65536           64041               3              10            0.01         0.49829      0.00108925         2.82843       -0.010103         24.3177     0.000541543        0.722302               7
     65536           64018               3              10            0.01        0.498206      -0.0106276         2.82843      -0.0107182         24.3188      0.00056739        0.738888               6
     65536           63938               3              10            0.01        0.498263     -0.00512541         2.82843       -0.011328         24.3184     0.000571311        0.720729               3
     65536           63997               3              10            0.01        0.498252     -0.00278115         2.82843      -0.0110974         24.3188     0.000587251        0.739776               4
     65536           64092               3              10            0.01        0.498368      0.00886967         2.82843     -0.00928765          24.319     0.000555851        0.736941               0
     65536           64017               3              10            0.01        0.498306    -0.000422189         2.82843      -0.0099947         24.3183     0.000551734        0.727569               2
     65536           64049               3              10            0.01        0.498301      0.00200067         2.82843     -0.00949661         24.3182     0.000557371        0.748902               5
     65536           63994               3              10            0.01        0.498279     -0.00452254         2.82843      -0.0101868          24.318     0.000536078        0.737565               7
