 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          259576               2             100             0.1             0.1        -2452.12               1               0         263.905         588.508         1.97987
    262144          259420               2             100             0.1            0.12        -1504.09               1               0         222.584         354.365         2.00758
    262144          259178               2             100             0.1            0.14        -1101.33               1               0         196.567         253.747         2.07817
    262144          258603               2             100             0.1            0.16        -989.667               1               0         175.006         222.081         2.12105
    262144          258579               2             100             0.1            0.18        -889.617               1               0         157.936         193.581         2.00936
    262144          258366               2             100             0.1             0.2        -651.826               1               0         144.804         136.884         2.20784
    262144          258408               2             100             0.1            0.22        -570.492               1               0          136.16         115.011         2.13261
    262144          258497               2             100             0.1            0.24        -483.589               1               0         129.013         93.0426         2.20602
    262144          258024               2             100             0.1            0.26        -507.364               1               0         123.768         92.5432         2.03308
    262144          257939               2             100             0.1            0.28         -442.76               1               0         117.538         75.9776         1.98694
    262144          258133               2             100             0.1             0.3        -343.706               1               0         113.316          54.993         2.00698
    262144          257552               2             100             0.1            0.32        -290.273               1               0         111.265         42.8443         2.03711
    262144          257153               2             100             0.1            0.34        -295.136               1               0         108.021         39.6662         2.06053
    262144          257105               2             100             0.1            0.36        -229.158               1               0         106.109         27.5906         1.98447
    262144          256898               2             100             0.1            0.38        -167.151               1               0         103.943         17.6512         2.09954
    262144          256638               2             100             0.1             0.4        -133.477               1               0         102.457         12.0129         2.02096
    262144          256959               2             100             0.1            0.42        -118.203               1               0         101.625         8.69976         2.16201
    262144          256574               2             100             0.1            0.44        -91.7568               1               0         100.981         5.17508         2.06257
    262144          256469               2             100             0.1            0.46        -60.7823               1               0          100.48         2.33404         2.02755
    262144          256370               2             100             0.1            0.48        -28.7572               1               0         100.131        0.563642         2.05203
    262144          256675               2             100             0.1             0.5    -2.00089e-10               1               0             100               0         2.00847
    262144          256715               2             100             0.1            0.52         23.8905               1               0         100.067        0.487367         2.01614
    262144          256113               2             100             0.1            0.54         49.5912               1               0         100.164         2.06299         1.99471
    262144          256370               2             100             0.1            0.56         77.9412               1               0         100.442         4.95706         2.02432
    262144          255982               2             100             0.1            0.58         102.043               1               0         100.902         8.81651         2.02052
    262144          255849               2             100             0.1             0.6         135.755               1               0         101.323         14.9331         1.99059
    262144          255934               2             100             0.1            0.62         157.932               1               0         102.061          21.226          2.0498
    262144          255556               2             100             0.1            0.64         173.657               1               0         102.633         27.7156         2.02391
    262144          255593               2             100             0.1            0.66          197.62               1               0         103.806         36.6782         2.00564
    262144          255342               2             100             0.1            0.68         207.028               1               0          104.45         43.9727         1.99867
    262144          255607               2             100             0.1             0.7         239.008               1               0         105.643         57.3619         1.96072
    262144          255239               2             100             0.1            0.72         252.484               1               0         106.228         67.7666         2.04274
    262144          255186               2             100             0.1            0.74         276.994               1               0         107.033         82.4336         2.03576
    262144          254973               2             100             0.1            0.76         274.444               1               0         108.382         89.9077         1.98208
    262144          255159               2             100             0.1            0.78         349.881               1               0         109.895         125.397         1.99008
    262144          255096               2             100             0.1             0.8         345.619               1               0         110.263         134.791         2.00243
    262144          254972               2             100             0.1            0.82          407.41               1               0         111.103          172.09         1.95572
    262144          254725               2             100             0.1            0.84         424.359               1               0         112.837         193.338         1.96703
    262144          254661               2             100             0.1            0.86         440.353               1               0         114.173         215.597         1.95456
    262144          254384               2             100             0.1            0.88         423.228               1               0         115.488         221.941         2.01816
    262144          254520               2             100             0.1             0.9         474.668               1               0         117.375         265.814         2.02741
    262144          254650               2             100             0.1            0.92         469.289               1               0         118.683         279.884         2.03373
    262144          254635               2             100             0.1            0.94         507.096               1               0         119.973         321.296         2.02655
    262144          254242               2             100             0.1            0.96         482.225               1               0         120.888         323.862          2.1172
    262144          253953               2             100             0.1            0.98         512.783               1               0         122.417         364.281         1.97902
    262144          253593               2             100             0.1               1         571.772               1               0          124.19         428.829          1.9756
    262144          253984               2             100             0.1            1.02         576.119               1               0         125.632         455.364         1.95173
