 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          262100               2             500            0.01             0.3        -902.433               1               0         566.679         144.389         24.8882
    262144          262056               2             500            0.01        0.480487        -41.5343               1               0         500.405        0.794661         24.8161
    262144          262068               2             500            0.01        0.488793        -23.8155               1               0         500.128        0.263899         24.8268
    262144          262060               2             500            0.01        0.493557        -13.8308               1               0         500.041       0.0885447         24.8241
    262144          262052               2             500            0.01        0.496323        -7.36937               1               0         500.013           0.027         24.8288
    262144          262054               2             500            0.01        0.497797        -4.60453               1               0         500.007       0.0101235         24.8366
    262144          262056               2             500            0.01        0.498717        -2.60017               1               0         500.001      0.00333059         26.3577
    262144          262055               2             500            0.01        0.499237        -1.50641               1               0         500.001       0.0011478         25.9496
    262144          262054               2             500            0.01        0.499539       -0.938925               1               0             500     0.000432871         24.8709
    262144          262065               2             500            0.01        0.499727       -0.562105               1               0             500     0.000153665           24.82
    262144          262049               2             500            0.01        0.499839       -0.316954               1               0             500     5.10191e-05         24.8436
    262144          262055               2             500            0.01        0.499902       -0.200998               1               0             500     1.96305e-05         24.8366
    262144          262050               2             500            0.01        0.499943       -0.115393               1               0             500     6.63102e-06         24.8443
    262144          262047               2             500            0.01        0.499966      -0.0697414               1               0             500     2.38765e-06         24.8299
    262144          262052               2             500            0.01         0.49998      -0.0414754               1               0             500     8.39267e-07         25.0411
    262144          262051               2             500            0.01        0.499988      -0.0252972               1               0             500     2.97965e-07         24.8239
    262144          262042               2             500            0.01        0.499993      -0.0139309               1               0             500     1.05763e-07         24.8411
    262144          262061               2             500            0.01        0.499996     -0.00864476               1               0             500     4.41505e-08          24.823
    262144          262057               2             500            0.01        0.499997     -0.00520626               1               0             500     1.22236e-08         24.8533
    262144          262063               2             500            0.01        0.499998     -0.00303041               1               0             500     1.24564e-08         24.8205
    262144          262043               2             500            0.01        0.499999     -0.00183166               1               0             500      7.6252e-09           24.83
    262144          262061               2             500            0.01        0.499999     -0.00104243               1               0             500    -5.15138e-09         25.5854
    262144          262048               2             500            0.01             0.5    -0.000629762               1               0             500    -1.04192e-08         26.1797
    262144          262056               2             500            0.01             0.5    -0.000385168               1               0             500    -9.45874e-09         25.4717
    262144          262058               2             500            0.01             0.5    -0.000240445               1               0             500    -5.82077e-10         25.3845
    262144          262042               2             500            0.01             0.5    -0.000140526               1               0             500    -3.37604e-09         24.8356
    262144          262060               2             500            0.01             0.5    -8.06966e-05               1               0             500    -4.48199e-09         24.8623
    262144          262057               2             500            0.01             0.5    -5.03932e-05               1               0             500     -4.5693e-09         24.8593
    262144          262055               2             500            0.01             0.5    -2.86638e-05               1               0             500    -4.24916e-09         24.8222
    262144          262043               2             500            0.01             0.5    -1.73599e-05               1               0             500    -8.52742e-09         24.8847
    262144          262018               2             500            0.01             0.5    -1.01265e-05               1               0             500     3.49246e-09          24.855
    262144          262024               2             500            0.01             0.5     -6.1263e-06               1               0             500     5.47152e-09         24.8597
