 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          262093               3              10            0.01             0.3        -26.8449               1        -2.71022         16.9479         4.29519        0.663648
    262144          261991               3              10            0.01        0.568449         3.44625               1         0.65508         15.1221        0.252041        0.653927
    262144          262013               3              10            0.01        0.533987         1.83445               1        0.329628         15.0243       0.0644663        0.643245
    262144          262017               3              10            0.01        0.515642        0.888083               1        0.153698         15.0074       0.0141091        0.661258
    262144          262032               3              10            0.01        0.506762        0.401372               1       0.0689539         14.9999      0.00273228        0.633823
    262144          262036               3              10            0.01        0.502748        0.166629               1        0.026447         14.9995     0.000459137        0.634632
    262144          262033               3              10            0.01        0.501082       0.0639077               1       0.0107257         15.0001     6.91974e-05        0.639452
    262144          262025               3              10            0.01        0.500443       0.0268877               1      0.00444671              15     1.19038e-05        0.633535
    262144          262009               3              10            0.01        0.500174       0.0104145               1      0.00175484              15     1.80876e-06        0.634573
    262144          262032               3              10            0.01         0.50007      0.00424976               1     0.000731057              15     2.95391e-07        0.634608
    262144          262013               3              10            0.01        0.500027      0.00157956               1     0.000262367              15     4.26499e-08        0.633197
    262144          262018               3              10            0.01        0.500011     0.000686419               1     0.000113403              15     7.68907e-09        0.632998
    262144          262030               3              10            0.01        0.500004     0.000265237               1     4.46362e-05              15     1.15728e-09        0.633017
    262144          262028               3              10            0.01        0.500002      0.00010239               1     1.69096e-05              15     1.65954e-10        0.631946
    262144          262025               3              10            0.01        0.500001     4.01159e-05               1     6.69942e-06              15     2.09468e-11        0.632402
    262144          262028               3              10            0.01             0.5      1.6728e-05               1     2.69017e-06              15    -3.72324e-12         0.63222
    262144          262018               3              10            0.01             0.5     6.32186e-06               1     1.00729e-06              15     5.45697e-12        0.631981
