 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          260164               1             100             0.1             0.1        -1278.54               1               0         131.661         306.849         1.63446
    262144          260301               1             100             0.1            0.12        -846.674               1               0         112.741         199.476         1.71428
    262144          260351               1             100             0.1            0.14        -534.704               1               0         96.3874         123.196         1.65171
    262144          260114               1             100             0.1            0.16        -411.418               1               0         87.3843         92.3223         1.64158
    262144          260051               1             100             0.1            0.18        -379.388               1               0         80.9762         82.5548         1.70799
    262144          259749               1             100             0.1             0.2        -274.679               1               0         72.5523         57.6826         1.65147
    262144          260052               1             100             0.1            0.22        -280.569               1               0         68.0362         56.5626         1.67431
    262144          259650               1             100             0.1            0.24        -234.386               1               0         65.5669         45.0958         1.66907
    262144          259589               1             100             0.1            0.26        -167.706               1               0         60.2522         30.5896         1.62098
    262144          259526               1             100             0.1            0.28        -150.464               1               0         58.3186         25.8197         1.59844
    262144          259195               1             100             0.1             0.3        -139.223               1               0         57.4224         22.2757         1.59012
    262144          259212               1             100             0.1            0.32         -118.23               1               0          55.418         17.4507         1.59047
    262144          259053               1             100             0.1            0.34        -81.4525               1               0         53.6836         10.9472         1.59844
    262144          258873               1             100             0.1            0.36        -78.4337               1               0         52.8593         9.44341         1.59013
    262144          258941               1             100             0.1            0.38        -69.1207               1               0         52.0519         7.29915         1.59095
    262144          258930               1             100             0.1             0.4        -53.3615               1               0         51.2681         4.80253         1.59696
    262144          259150               1             100             0.1            0.42        -41.1346               1               0         50.7745         3.02751         1.59097
    262144          258804               1             100             0.1            0.44        -29.9082               1               0         50.4918         1.68682         1.58923
    262144          258596               1             100             0.1            0.46        -18.8973               1               0         50.1557        0.725658          1.5968
    262144          258450               1             100             0.1            0.48        -9.12474               1               0         50.0453        0.178845         1.59303
    262144          258235               1             100             0.1             0.5    -1.02773e-10               1               0              50               0         1.59049
    262144          258295               1             100             0.1            0.52          8.4136               1               0         49.9814        0.171637          1.5958
    262144          258304               1             100             0.1            0.54         18.1708               1               0         50.1494        0.755904         1.59975
    262144          257976               1             100             0.1            0.56         25.4444               1               0         50.3273         1.61826         1.58959
    262144          258304               1             100             0.1            0.58         33.5076               1               0         50.4807         2.89506         1.59058
    262144          258191               1             100             0.1             0.6         42.2596               1               0         50.6677         4.64856         1.60569
    262144          257911               1             100             0.1            0.62         40.9262               1               0          51.128         5.50048         1.59096
    262144          258035               1             100             0.1            0.64         47.9088               1               0         51.3429         7.64624         1.59034
    262144          257809               1             100             0.1            0.66          57.146               1               0         51.6121         10.6063         1.59866
    262144          257574               1             100             0.1            0.68         61.1621               1               0         52.2205         12.9908          1.5902
    262144          257853               1             100             0.1             0.7          70.756               1               0         52.5976         16.9814         1.59171
    262144          257892               1             100             0.1            0.72         76.0038               1               0         53.2266         20.3994         1.60186
    262144          257847               1             100             0.1            0.74         95.3934               1               0         53.5671         28.3891          1.5915
    262144          257736               1             100             0.1            0.76         78.6638               1               0         54.2852         25.7703         1.59038
    262144          257016               1             100             0.1            0.78         97.9763               1               0         54.5059         35.1147         1.59881
    262144          257623               1             100             0.1             0.8         97.3368               1               0         55.4763         37.9614         1.59076
    262144          257458               1             100             0.1            0.82         111.886               1               0          56.158         47.2607         1.59095
    262144          257203               1             100             0.1            0.84         101.736               1               0         56.4213          46.351         1.59711
    262144          257053               1             100             0.1            0.86         110.365               1               0         57.1286         54.0347         1.59274
    262144          257026               1             100             0.1            0.88         112.561               1               0         57.7556          59.027          1.5902
    262144          256804               1             100             0.1             0.9         119.157               1               0         58.5647         66.7279         1.59408
    262144          257081               1             100             0.1            0.92          119.55               1               0         59.3785         71.2994         1.59448
    262144          257121               1             100             0.1            0.94         128.681               1               0         59.7199         81.5326         1.59153
