 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time          Thread
     65536           63802               3              50            0.01             0.3        -206.101         2.82843        -13.7762         141.868         70.3274         17.0275               7
     65536           63715               3              50            0.01             0.3         -205.54         2.82843        -13.8046         141.612         70.3278         17.0503               4
     65536           63684               3              50            0.01             0.3        -206.175         2.82843        -13.2309         133.223         207.816         17.0672               0
     65536           63733               3              50            0.01             0.3        -211.048         2.82843         -13.234          142.44         69.6137         17.0804               3
     65536           63794               3              50            0.01             0.3        -212.492         2.82843        -13.2259         141.636         69.8177         16.9934               1
     65536           63762               3              50            0.01             0.3        -223.178         2.82843        -14.4882         141.522         74.9573         17.0958               2
     65536           63635               3              50            0.01             0.3        -201.093         2.82843        -12.7282        -33335.3         71.8528         17.2047               5
     65536           63762               3              50            0.01             0.3        -223.112         2.82843        -13.7147         141.412         72.8077         17.2132               6
     65536           61300               3              50            0.01        0.712201         66.1386         2.82843         9.99974         131.669         37.3042         16.8268               7
     65536           61106               3              50            0.01        0.711079          69.697         2.82843         10.1367         132.006         38.3209         16.8234               4
     65536           61052               3              50            0.01        0.712349         68.9085         2.82843         10.6729         118.275         575.769         16.8609               0
     65536           61199               3              50            0.01        0.722097         68.3342         2.82843         10.3068         132.433         40.2546         16.8879               3
     65536           61238               3              50            0.01        0.724985         70.8428         2.82843         10.5883         132.792         42.0973         16.8881               1
     65536           61000               3              50            0.01        0.746356          76.238         2.82843         11.4893         133.923         49.8758          16.902               2
     65536           61035               3              50            0.01        0.746224         78.5288         2.82843         11.6134         133.869         50.8676         16.8483               6
     65536           61027               3              50            0.01        0.702186         61.8955         2.82843         9.00775        -33339.9         43.9929         16.9331               5
     65536           61947               3              50            0.01        0.579924         36.8432         2.82843         4.30154         126.241         7.05764         16.8106               7
     65536           62088               3              50            0.01        0.571685         33.7428         2.82843          3.7405         125.934          5.7031         16.8136               4
     65536           62098               3              50            0.01        0.574532          32.488         2.82843         3.96447         114.096         382.164         16.8203               0
     65536           61962               3              50            0.01        0.585428         38.3593         2.82843         4.41171         126.353         7.78423         16.8289               3
     65536           62061               3              50            0.01        0.583299         36.3411         2.82843         4.15604         126.323         7.16622         16.8207               1
     65536           61997               3              50            0.01         0.59388         41.2641         2.82843          4.9446         126.562         9.32213         16.8193               2
     65536           62094               3              50            0.01        0.589167         40.3047         2.82843         4.67029         126.508         8.53749         16.8129               6
     65536           61910               3              50            0.01        0.578395         33.2344         2.82843          3.8344        -33346.5         15.4642         16.8257               5
     65536           62460               3              50            0.01        0.506238         6.57494         2.82843        0.487921         125.156         0.15757         16.7684               7
     65536           62483               3              50            0.01          0.5042         5.53025         2.82843        0.358097         125.187        0.112304         16.7623               4
     65536           62344               3              50            0.01        0.509556          10.853         2.82843        0.963073         114.348         369.186          16.779               0
     65536           62557               3              50            0.01         0.50871         8.28755         2.82843        0.612006         125.147        0.234634         16.7607               3
     65536           62521               3              50            0.01        0.510617         8.92716         2.82843        0.703588         125.149        0.285073         16.7523               1
     65536           62351               3              50            0.01        0.511352         8.99676         2.82843        0.767864          125.19        0.306268         16.7701               2
     65536           62524               3              50            0.01        0.508557         8.41883         2.82843        0.654975         125.157        0.235966         16.7516               6
     65536           62357               3              50            0.01        0.511926         9.38145         2.82843        0.762971        -33348.3         8.42429         16.7495               5
     65536           62444               3              50            0.01        0.493088        0.105179         2.82843         -0.2129         125.222        0.029869         16.7691               7
     65536           62577               3              50            0.01        0.493139        0.206879         2.82843       -0.225766         125.213       0.0316047         16.7691               4
     65536           62570               3              50            0.01         0.48785        0.531584         2.82843       -0.295216         114.655         324.516         16.7796               0
