 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          259174               3              10             0.1             0.1        -299.055               1        -10.1594         37.1087         71.7733        0.259802
    262144          258701               3              10             0.1            0.12        -226.012               1        -7.76706         32.3129         53.2483        0.260484
    262144          258668               3              10             0.1            0.14        -173.371               1        -7.98249         27.3962         39.9447        0.254626
    262144          258192               3              10             0.1            0.16        -176.974               1        -9.28939         26.1342         39.7131        0.252711
    262144          258051               3              10             0.1            0.18        -112.588               1        -7.96643         23.9302         24.4992        0.249807
    262144          257492               3              10             0.1             0.2        -86.1139               1        -6.55265         22.5066         18.0839        0.248709
    262144          257349               3              10             0.1            0.22         -65.855               1        -5.01547         19.9371         13.2764         0.25088
    262144          257280               3              10             0.1            0.24         -56.777               1        -4.76997          19.368         10.9239         0.26249
    262144          256907               3              10             0.1            0.26        -45.1429               1        -3.96696         18.6675         8.23407        0.261846
    262144          256845               3              10             0.1            0.28        -39.2218               1        -3.19965         17.5728         6.73046        0.246491
    262144          256571               3              10             0.1             0.3        -32.4581               1        -3.37872         17.0709          5.1933        0.238374
    262144          256073               3              10             0.1            0.32        -26.0013               1        -2.84239         16.6411         3.83779        0.253628
    262144          256195               3              10             0.1            0.34        -20.7487               1        -2.16941         16.3291         2.78863        0.254055
    262144          256123               3              10             0.1            0.36         -17.683               1        -1.70425         15.7782         2.12903        0.251669
    262144          255916               3              10             0.1            0.38        -13.0804               1        -1.78827         15.6777         1.38129        0.249742
    262144          255559               3              10             0.1             0.4        -8.76542               1        -1.08474         15.4244        0.788888        0.249716
    262144          255737               3              10             0.1            0.42        -8.58406               1        -1.08203         15.2225        0.631787         0.25328
    262144          255173               3              10             0.1            0.44          -5.314               1       -0.750546         15.1897        0.299709         0.25003
    262144          254868               3              10             0.1            0.46        -4.04721               1       -0.468294         15.0468        0.155413        0.240043
    262144          255171               3              10             0.1            0.48        -1.71161               1       -0.253136         15.0266       0.0335476        0.239936
    262144          255016               3              10             0.1             0.5    -3.69482e-12               1    -1.98952e-13              15               0        0.237759
    262144          254714               3              10             0.1            0.52         1.69234               1        0.263917         15.0038       0.0345238        0.239042
    262144          254656               3              10             0.1            0.54         3.21005               1        0.533317         15.0008        0.133538        0.251085
    262144          254508               3              10             0.1            0.56         4.30146               1         0.68561          15.069        0.273573        0.250627
    262144          254500               3              10             0.1            0.58         6.00202               1         1.13123         15.0479        0.518574        0.243114
    262144          254218               3              10             0.1             0.6         7.41427               1         1.34692         15.1969        0.815569        0.238387
    262144          254599               3              10             0.1            0.62         7.88972               1         1.49423         15.3854         1.06038        0.239411
    262144          254465               3              10             0.1            0.64         8.77761               1         1.86541         15.3697         1.40091        0.239321
    262144          253927               3              10             0.1            0.66         10.1385               1         1.85643         15.5567         1.88171        0.239184
    262144          254018               3              10             0.1            0.68         10.3657               1         1.89353         15.6315         2.20168        0.238002
    262144          253684               3              10             0.1             0.7         11.2874               1         2.44482         15.6635         2.70898        0.239707
    262144          253703               3              10             0.1            0.72         12.6103               1         2.53972         15.9258         3.38461        0.259349
    262144          253465               3              10             0.1            0.74         12.9463               1         2.53535         16.1587         3.85282        0.253218
    262144          253654               3              10             0.1            0.76         17.2904               1         3.66554         16.3133         5.66435        0.242846
