 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          262125               1              10            0.01             0.3        -8.84736               1               0         5.66317         1.41558        0.388807
    262144          262098               1              10            0.01        0.388474        -3.27487               1               0         5.16074        0.324501           0.386
    262144          262104               1              10            0.01        0.421222        -2.14603               1               0         5.07878        0.155741        0.385878
    262144          262097               1              10            0.01        0.442683        -1.36639               1               0         5.04084       0.0738289        0.386266
    262144          262100               1              10            0.01        0.456346        -1.01413               1               0         5.02248        0.042338        0.386075
    262144          262106               1              10            0.01        0.466488       -0.777231               1               0         5.01167       0.0251738        0.386114
    262144          262085               1              10            0.01         0.47426       -0.564612               1               0         5.01104        0.014159        0.413019
    262144          262088               1              10            0.01        0.479906       -0.425732               1               0         5.00091      0.00838265        0.410192
    262144          262092               1              10            0.01        0.484164       -0.330938               1               0         5.00238      0.00515787        0.409171
    262144          262093               1              10            0.01        0.487473       -0.252329               1               0         5.00103      0.00312134        0.415184
    262144          262090               1              10            0.01        0.489996       -0.196652               1               0         4.99952      0.00194758        0.427976
    262144          262086               1              10            0.01        0.491963       -0.166155               1               0         5.00082      0.00132469        0.411074
    262144          262102               1              10            0.01        0.493624       -0.128832               1               0         5.00052     0.000816153         0.39718
    262144          262090               1              10            0.01        0.494913       -0.101451               1               0         5.00054      0.00051349        0.398627
    262144          262091               1              10            0.01        0.495927      -0.0847826               1               0          5.0009       0.0003439        0.396877
    262144          262078               1              10            0.01        0.496775       -0.064575               1               0         5.00032     0.000207584        0.393457
    262144          262087               1              10            0.01        0.497421       -0.052845               1               0         5.00033      0.00013595          0.3914
    262144          262076               1              10            0.01        0.497949      -0.0406329               1               0         4.99994     8.31599e-05        0.393765
    262144          262093               1              10            0.01        0.498356      -0.0337541               1               0         5.00032     5.54172e-05        0.399558
    262144          262092               1              10            0.01        0.498693      -0.0268362               1               0         5.00019     3.50277e-05        0.397994
    262144          262077               1              10            0.01        0.498961      -0.0210242               1               0         4.99995     2.18129e-05        0.392053
    262144          262091               1              10            0.01        0.499172      -0.0166552               1               0         5.00007     1.37849e-05         0.39277
    262144          262100               1              10            0.01        0.499338      -0.0129601               1               0         4.99999      8.5713e-06        0.400154
    262144          262080               1              10            0.01        0.499468      -0.0105283               1               0         5.00004     5.60015e-06        0.428487
    262144          262084               1              10            0.01        0.499573     -0.00839066               1               0         4.99999     3.58054e-06        0.403306
    262144          262094               1              10            0.01        0.499657     -0.00675181               1               0         5.00002     2.31511e-06        0.401499
    262144          262092               1              10            0.01        0.499725     -0.00558533               1               0         5.00002     1.53826e-06         0.39593
    262144          262082               1              10            0.01         0.49978     -0.00446478               1               0         5.00002     9.80401e-07        0.404683
    262144          262083               1              10            0.01        0.499825     -0.00345287               1               0               5     6.04099e-07        0.391207
    262144          262087               1              10            0.01         0.49986     -0.00305939               1               0         5.00003     4.29654e-07        0.392938
    262144          262089               1              10            0.01         0.49989      -0.0022444               1               0               5      2.4655e-07        0.399707
    262144          262090               1              10            0.01        0.499913      -0.0017338               1               0               5     1.51555e-07        0.402999
    262144          262091               1              10            0.01         0.49993     -0.00131353               1               0         4.99999     9.20483e-08        0.402446
    262144          262086               1              10            0.01        0.499943     -0.00110736               1               0               5     6.30568e-08        0.397072
    262144          262094               1              10            0.01        0.499954    -0.000970573               1               0         5.00001     4.45205e-08        0.392941
    262144          262087               1              10            0.01        0.499964    -0.000734353               1               0               5     2.65581e-08         0.39228
    262144          262091               1              10            0.01        0.499971    -0.000570104               1               0               5     1.64319e-08        0.396362
    262144          262080               1              10            0.01        0.499977    -0.000458171               1               0               5     1.05942e-08        0.393954
    262144          262081               1              10            0.01        0.499981    -0.000362113               1               0               5     6.71348e-09        0.392708
    262144          262081               1              10            0.01        0.499985    -0.000296488               1               0               5     4.42319e-09        0.391834
    262144          262076               1              10            0.01        0.499988    -0.000243117               1               0               5     2.90734e-09        0.392475
    262144          262099               1              10            0.01         0.49999    -0.000188419               1               0               5     1.79565e-09        0.392299
    262144          262069               1              10            0.01        0.499992    -0.000149269               1               0               5     1.13973e-09        0.391905
    262144          262092               1              10            0.01        0.499994    -0.000122312               1               0               5     7.52078e-10        0.393076
    262144          262089               1              10            0.01        0.499995    -9.99475e-05               1               0               5     4.92328e-10        0.392092
    262144          262101               1              10            0.01        0.499996    -7.63389e-05               1               0               5     3.00499e-10        0.396866
    262144          262091               1              10            0.01        0.499997    -6.09062e-05               1               0               5     1.93566e-10        0.398275
    262144          262073               1              10            0.01        0.499997    -5.27228e-05               1               0               5     1.34637e-10        0.403616
    262144          262076               1              10            0.01        0.499998    -4.01012e-05               1               0               5     8.07923e-11        0.408162
    262144          262082               1              10            0.01        0.499998    -3.24822e-05               1               0               5      5.3852e-11        0.392988
    262144          262090               1              10            0.01        0.499999     -2.6586e-05               1               0               5     3.50866e-11        0.399036
    262144          262092               1              10            0.01        0.499999    -2.11542e-05               1               0               5     2.15792e-11        0.400301
    262144          262084               1              10            0.01        0.499999    -1.64048e-05               1               0               5     1.30917e-11        0.400973
    262144          262093               1              10            0.01        0.499999    -1.29114e-05               1               0               5     8.71125e-12        0.407043
    262144          262099               1              10            0.01        0.499999    -1.03686e-05               1               0               5     6.29541e-12        0.399796
    262144          262082               1              10            0.01             0.5    -8.77621e-06               1               0               5     4.39826e-12        0.396968
