 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time
    262144          261879               2             100             0.1             0.1        -2453.31               1               0         259.627         588.795         4.99221
    262144          261768               2             100             0.1            0.12        -1632.75               1               0         220.061         384.675         4.98402
    262144          261716               2             100             0.1            0.14           -1177               1               0         192.038         271.182         4.98234
    262144          261577               2             100             0.1            0.16        -887.414               1               0         172.227         199.136         4.98041
    262144          261495               2             100             0.1            0.18        -669.466               1               0         156.818         145.676         4.98274
    262144          261403               2             100             0.1             0.2        -525.909               1               0         144.934         110.441         4.98174
    262144          261277               2             100             0.1            0.22        -421.174               1               0         135.788         84.9086         4.98131
    262144          261195               2             100             0.1            0.24        -332.258               1               0         128.204         63.9264         4.98133
    262144          261020               2             100             0.1            0.26        -275.065               1               0         122.111         50.1718          4.9808
    262144          260904               2             100             0.1            0.28        -219.045               1               0         117.301         37.5882         4.98148
    262144          260760               2             100             0.1             0.3        -178.787               1               0         113.358         28.6059         4.98121
    262144          260689               2             100             0.1            0.32        -144.711               1               0          110.09         21.3593         4.98259
    262144          260487               2             100             0.1            0.34        -118.342               1               0          107.57         15.9052         5.04855
    262144          260366               2             100             0.1            0.36        -92.5886               1               0         105.444         11.1477         5.18045
    262144          260214               2             100             0.1            0.38        -72.4877               1               0         103.782          7.6547         5.12152
    262144          260044               2             100             0.1             0.4        -56.9067               1               0         102.509         5.12161         5.07735
    262144          259880               2             100             0.1            0.42        -42.3745               1               0         101.524         3.11876         5.10514
    262144          259729               2             100             0.1            0.44        -29.6101               1               0         100.815         1.67001         5.09394
    262144          259579               2             100             0.1            0.46        -18.1886               1               0         100.339        0.698442         5.06527
    262144          259366               2             100             0.1            0.48        -8.63297               1               0         100.083        0.169206         5.08907
    262144          259164               2             100             0.1             0.5     5.12955e-10               1               0             100               0         5.08547
    262144          259117               2             100             0.1            0.52         7.61232               1               0         100.079        0.155291         5.09585
    262144          258881               2             100             0.1            0.54         14.5769               1               0         100.302        0.606398         5.07099
    262144          258590               2             100             0.1            0.56         20.6747               1               0         100.646         1.31491         5.07138
    262144          258492               2             100             0.1            0.58         25.7957               1               0         101.105         2.22875         5.17242
    262144          258259               2             100             0.1             0.6         31.0289               1               0         101.668         3.41318         5.18175
    262144          258107               2             100             0.1            0.62         35.4698               1               0         102.328         4.76714         5.18214
    262144          258011               2             100             0.1            0.64         39.2341               1               0         103.052         6.26176         5.12428
    262144          257691               2             100             0.1            0.66         43.4799               1               0         103.882         8.06987         5.12776
    262144          257511               2             100             0.1            0.68         46.3357               1               0         104.766         9.84169         5.20155
    262144          257245               2             100             0.1             0.7         49.5844               1               0         105.753         11.9003         5.13348
    262144          257145               2             100             0.1            0.72         52.5049               1               0         106.743         14.0923         5.18535
    262144          256807               2             100             0.1            0.74         55.4985               1               0         107.756         16.5164         5.18468
    262144          256671               2             100             0.1            0.76         57.6353               1               0         108.911         18.8813         5.11881
    262144          256471               2             100             0.1            0.78         59.9508               1               0         110.046         21.4864         5.18336
    262144          256239               2             100             0.1             0.8          61.899               1               0         111.253         24.1406         5.13318
    262144          256066               2             100             0.1            0.82         63.7835               1               0         112.448         26.9422         5.14742
    262144          255837               2             100             0.1            0.84         65.8437               1               0         113.793         29.9984          5.0956
    262144          255581               2             100             0.1            0.86         67.6372               1               0         115.075         33.1152         5.06101
    262144          255341               2             100             0.1            0.88         68.7876               1               0         116.456         36.0722         5.04587
    262144          255091               2             100             0.1             0.9         70.8575               1               0         117.761         39.6802         5.07323
    262144          254771               2             100             0.1            0.92         71.9449               1               0         119.188         42.9079         5.04528
    262144          254667               2             100             0.1            0.94         73.1744               1               0         120.575         46.3633         5.09483
    262144          254408               2             100             0.1            0.96         74.2062               1               0         122.114         49.8369         5.09885
    262144          254134               2             100             0.1            0.98         75.7286               1               0         123.534         53.7976         5.10821
    262144          253767               2             100             0.1               1         76.1759               1               0         125.008          57.132         5.10805
    262144          253345               2             100             0.1            1.02         77.2913               1               0         126.495         61.0911         5.11694
    262144          253375               2             100             0.1            1.04         78.2392               1               0         128.061         65.0637         5.09397
    262144          253044               2             100             0.1            1.06         79.9633               1               0          129.56         69.8559         5.14256
    262144          252992               2             100             0.1            1.08         80.5136               1               0         131.116         73.7827         5.09397
    262144          252721               2             100             0.1             1.1         81.7389               1               0         132.745         78.4694         5.15919
    262144          252260               2             100             0.1            1.12         81.5938               1               0         134.272         81.9528         5.17167
    262144          251984               2             100             0.1            1.14         82.2032               1               0         135.957         86.2805         5.11416
    262144          251863               2             100             0.1            1.16         83.4222               1               0         137.578         91.3973         5.07009
    262144          251684               2             100             0.1            1.18         84.1639               1               0         139.182         96.1489         5.11715
    262144          251308               2             100             0.1             1.2         84.3463               1               0         140.901         100.372         5.14258
    262144          251087               2             100             0.1            1.22         84.5313               1               0         142.483         104.684         5.08992
    262144          250837               2             100             0.1            1.24         85.9168               1               0         144.156         110.627         5.09588
    262144          250327               2             100             0.1            1.26         86.5387               1               0          145.77         115.754         5.06815
    262144          249960               2             100             0.1            1.28         87.1091               1               0         147.504         120.942         5.24813
    262144          249969               2             100             0.1             1.3         87.1498               1               0         149.196         125.496         5.16447
    262144          249614               2             100             0.1            1.32         87.8557               1               0         150.923         131.116         5.24294
    262144          249190               2             100             0.1            1.34         87.8975               1               0         152.649         135.854         5.21882
    262144          249127               2             100             0.1            1.36          87.912               1               0         154.337         140.624         5.15751
    262144          248796               2             100             0.1            1.38         88.8948               1               0         156.063         147.068         5.07552
    262144          248563               2             100             0.1             1.4         89.2946               1               0         157.924         152.694         5.08763
    262144          247920               2             100             0.1            1.42         88.7906               1               0         159.563          156.84         5.10495
    262144          247749               2             100             0.1            1.44         90.0196               1               0         161.359          164.16         5.04596
    262144          247568               2             100             0.1            1.46         89.6857               1               0          163.17         168.753         5.04299
    262144          247166               2             100             0.1            1.48          90.758               1               0         164.958         176.107         5.16161
    262144          246982               2             100             0.1             1.5         90.7664               1               0         166.762         181.533         5.17702
    262144          246555               2             100             0.1            1.52         91.4275               1               0         168.384         188.377         5.10941
    262144          246251               2             100             0.1            1.54         91.1102               1               0         170.269         193.299         5.29906
    262144          245738               2             100             0.1            1.56         91.4933               1               0         172.068         199.785         5.23069
    262144          245608               2             100             0.1            1.58         91.7079               1               0         173.712         206.013         5.09589
    262144          245340               2             100             0.1             1.6         92.3825               1               0          175.65         213.404          5.0921
    262144          245026               2             100             0.1            1.62         92.0194               1               0         177.407         218.491         5.15653
    262144          244663               2             100             0.1            1.64         92.6017               1               0         179.192         225.911         5.14369
    262144          244386               2             100             0.1            1.66         93.1014               1               0          181.06         233.275         5.19221
    262144          244315               2             100             0.1            1.68         93.3238               1               0         182.917         240.066          5.1465
    262144          243828               2             100             0.1             1.7         92.5315               1               0          184.72         244.283          5.1972
    262144          243564               2             100             0.1            1.72         93.5378               1               0         186.445         253.338          5.2332
    262144          243034               2             100             0.1            1.74         94.3824               1               0         188.355         262.157         5.12402
    262144          242951               2             100             0.1            1.76         93.5628               1               0         190.147          266.43         5.23696
    262144          242455               2             100             0.1            1.78         93.2628               1               0         192.007         272.178         5.32178
    262144          241990               2             100             0.1             1.8         94.5766               1               0          193.86         282.784          5.2527
    262144          242116               2             100             0.1            1.82         94.1175               1               0         195.705         288.225         5.20796
    262144          241428               2             100             0.1            1.84         94.1154               1               0         197.624         295.108         5.17413
    262144          241084               2             100             0.1            1.86          94.456               1               0          199.35         303.166         5.17674
    262144          240785               2             100             0.1            1.88         94.9264               1               0         201.399         311.776         5.20923
    262144          240439               2             100             0.1             1.9         95.0588               1               0         203.205         319.397         5.14824
    262144          240276               2             100             0.1            1.92         95.4222               1               0          205.06         327.909         5.15932
    262144          239773               2             100             0.1            1.94         95.0792               1               0         206.826          334.07         5.23067
    262144          239460               2             100             0.1            1.96          95.397               1               0         208.866         342.628         5.11208
    262144          239162               2             100             0.1            1.98         95.5735               1               0         210.737         350.793         5.15425
    262144          238565               2             100             0.1               2         95.9508               1               0         212.487         359.816         5.17852
    262144          238636               2             100             0.1            2.02         95.5611               1               0         214.317         366.037         5.14562
    262144          238127               2             100             0.1            2.04         95.9877               1               0         216.272         375.466         5.15156
    262144          237673               2             100             0.1            2.06         96.7621               1               0         218.104         386.429         5.15175
    262144          237401               2             100             0.1            2.08         95.0631               1               0         220.124         387.515         5.19554
